iter	Passed	Remaining
655	1551	813
656	1553	810
657	1554	808
658	1556	805
659	1558	802
660	1559	799
661	1561	797
662	1563	794
663	1565	791
664	1567	789
665	1568	786
666	1570	784
667	1572	781
668	1574	778
669	1575	776
670	1577	773
671	1579	770
672	1580	767
673	1581	765
674	1583	762
675	1584	759
676	1585	756
677	1587	753
678	1589	751
679	1591	748
680	1593	746
681	1594	743
682	1597	741
683	1599	738
684	1601	736
685	1604	734
686	1609	733
687	1612	731
688	1615	729
689	1620	728
690	1624	726
691	1629	725
692	1632	723
693	1636	721
694	1641	720
695	1645	718
696	1647	716
697	1649	713
698	1652	711
699	1655	709
700	1657	706
701	1661	705
702	1663	702
703	1666	700
704	1668	697
705	1670	695
706	1671	692
707	1673	690
708	1674	687
709	1675	684
710	1677	681
711	1679	679
712	1681	676
713	1684	674
714	1686	672
715	1688	669
716	1689	666
717	1691	664
718	1693	661
719	1696	659
720	1697	657
721	1700	654
722	1702	652
723	1704	649
724	1706	647
725	1708	644
726	1710	642
727	1712	639
728	1714	637
729	1716	634
730	1718	632
731	1719	629
732	1721	627
733	1722	624
734	1724	621
735	1726	619
736	1728	616
737	1729	614
738	1731	611
739	1733	609
740	1735	606
741	1737	604
742	1739	601
743	1741	599
744	1743	596
745	1744	593
746	1745	591
747	1747	588
748	1750	586
749	1752	584
750	1754	581
751	1756	579
752	1757	576
753	1759	573
754	1760	571
755	1762	568
756	1764	566
757	1767	564
758	1769	561
759	1771	559
760	1772	556
761	1774	554
762	1775	551
763	1777	549
764	1779	546
765	1781	544
766	1784	541
767	1786	539
768	1789	537
769	1791	534
770	1793	532
771	1795	530
772	1798	528
773	1800	525
774	1802	523
775	1804	520
776	1806	518
777	1807	515
778	1809	513
779	1810	510
780	1813	508
781	1815	505
782	1816	503
783	1818	500
784	1819	498
785	1821	495
786	1822	493
787	1825	491
788	1827	488
789	1828	486
790	1831	483
791	1833	481
792	1834	478
793	1836	476
794	1838	474
795	1840	471
796	1841	469
797	1843	466
798	1845	464
799	1847	461
800	1849	459
801	1851	457
802	1853	454
803	1855	452
804	1858	450
805	1860	447
806	1862	445
807	1865	443
808	1867	440
809	1870	438
810	1888	440
811	1890	437
812	1892	435
813	1894	432
814	1896	430
815	1898	428
816	1900	425
817	1901	423
818	1903	420
819	1905	418
820	1906	415
821	1909	413
822	1911	411
823	1913	408
824	1915	406
825	1918	404
826	1920	401
827	1923	399
828	1926	397
829	1929	395
830	1931	392
831	1934	390
832	1937	388
833	1942	386
834	1945	384
835	1947	382
836	1951	379
837	1952	377
838	1954	375
839	1956	372
840	1957	370
841	1958	367
842	1960	365
843	1961	362
844	1963	360
845	1964	357
846	1966	355
847	1968	352
848	1971	350
849	1972	348
850	1974	345
851	1976	343
852	1979	341
853	1982	338
854	1985	336
855	1988	334
856	1992	332
857	1995	330
858	1997	327
859	1999	325
860	2001	323
861	2003	320
862	2004	318
863	2006	315
864	2008	313
865	2010	311
866	2012	308
867	2014	306
868	2016	303
869	2017	301
870	2019	299
871	2021	296
872	2023	294
873	2025	292
874	2027	289
875	2029	287
876	2031	284
877	2032	282
878	2033	279
879	2035	277
880	2036	275
881	2039	272
882	2041	270
883	2045	268
884	2048	266
885	2051	263
886	2057	262
887	2061	259
888	2063	257
889	2065	255
890	2068	253
891	2072	250
892	2074	248
893	2077	246
894	2079	243
895	2082	241
896	2083	239
897	2085	236
898	2087	234
899	2089	232
900	2091	229
901	2093	227
902	2095	225
903	2097	222
904	2100	220
905	2102	218
906	2103	215
907	2105	213
908	2107	211
909	2110	208
910	2112	206
911	2114	204
912	2116	201
913	2118	199
914	2120	196
915	2121	194
916	2123	192
917	2125	189
918	2126	187
919	2128	185
920	2130	182
921	2132	180
922	2134	178
923	2136	175
924	2137	173
925	2139	170
926	2142	168
927	2143	166
928	2145	164
929	2148	161
930	2150	159
931	2153	157
932	2158	155
933	2162	152
934	2165	150
935	2167	148
936	2170	145
937	2172	143
938	2174	141
939	2176	138
940	2178	136
941	2179	134
942	2181	131
943	2182	129
944	2184	127
945	2187	124
946	2190	122
947	2192	120
948	2194	117
949	2197	115
950	2199	113
951	2200	110
952	2202	108
953	2203	106
954	2205	103
955	2206	101
956	2207	99
957	2209	96
958	2210	94
959	2212	92
960	2213	89
961	2214	87
962	2216	85
963	2218	82
964	2221	80
965	2223	78
966	2225	75
967	2227	73
968	2230	71
969	2235	69
970	2239	66
971	2245	64
972	2250	62
973	2254	60
974	2258	57
975	2260	55
976	2262	53
977	2264	50
978	2268	48
979	2270	46
980	2272	44
981	2274	41
982	2276	39
983	2278	37
984	2281	34
985	2284	32
986	2287	30
987	2288	27
988	2289	25
989	2291	23
990	2292	20
991	2294	18
992	2298	16
993	2302	13
994	2304	11
995	2307	9
996	2310	6
997	2314	4
998	2317	2
999	2320	0
